neighbourhood_name,fall_foliage,count
ARBUTUS-RIDGE,brown,26
ARBUTUS-RIDGE,red,21
ARBUTUS-RIDGE,yellow,86
DOWNTOWN,brown,1
DOWNTOWN,red,26
DOWNTOWN,yellow,23
DUNBAR-SOUTHLANDS,brown,55
DUNBAR-SOUTHLANDS,red,121
DUNBAR-SOUTHLANDS,yellow,154
FAIRVIEW,brown,15
FAIRVIEW,red,42
FAIRVIEW,yellow,44
GRANDVIEW-WOODLAND,brown,16
GRANDVIEW-WOODLAND,red,132
GRANDVIEW-WOODLAND,yellow,92
HASTINGS-SUNRISE,brown,6
HASTINGS-SUNRISE,green,5
HASTINGS-SUNRISE,red,122
HASTINGS-SUNRISE,yellow,190
KENSINGTON-CEDAR COTTAGE,brown,52
KENSINGTON-CEDAR COTTAGE,red,121
KENSINGTON-CEDAR COTTAGE,yellow,150
KERRISDALE,brown,7
KERRISDALE,red,91
KERRISDALE,yellow,122
KILLARNEY,brown,15
KILLARNEY,red,40
KILLARNEY,yellow,20
KITSILANO,brown,41
KITSILANO,red,125
KITSILANO,yellow,25
MARPOLE,brown,9
MARPOLE,red,86
MARPOLE,yellow,124
MOUNT PLEASANT,brown,14
MOUNT PLEASANT,red,102
MOUNT PLEASANT,yellow,19
OAKRIDGE,brown,3
OAKRIDGE,red,45
OAKRIDGE,yellow,42
RENFREW-COLLINGWOOD,brown,23
RENFREW-COLLINGWOOD,red,144
RENFREW-COLLINGWOOD,yellow,277
RILEY PARK,brown,15
RILEY PARK,red,89
RILEY PARK,yellow,88
SHAUGHNESSY,brown,7
SHAUGHNESSY,red,180
SHAUGHNESSY,yellow,71
SOUTH CAMBIE,brown,9
SOUTH CAMBIE,red,46
SOUTH CAMBIE,yellow,66
STRATHCONA,brown,3
STRATHCONA,red,14
STRATHCONA,yellow,6
SUNSET,brown,29
SUNSET,red,87
SUNSET,yellow,27
VICTORIA-FRASERVIEW,brown,14
VICTORIA-FRASERVIEW,red,51
VICTORIA-FRASERVIEW,yellow,113
WEST END,brown,6
WEST END,red,7
WEST END,yellow,36
WEST POINT GREY,brown,3
WEST POINT GREY,red,84
WEST POINT GREY,yellow,107
